Comment,Designator,Footprint,LCSC Part #
1uF,"C1, C2, C4, C5",402,C52923
100nF,"C10, C11, C12, C13, C14, C15, C6, C7, C8, C9",402,C1525
10uF,C3,402,C15525
D_Small,"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94",D_SOD-123,C64898
WS2812B-2020,"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D95, D96, D97, D98, D99",LED_WS2812_2020,C965555
500mA,F1,805,C883103
GZ2012D601TF,FB1,805,C1017
EZMate,"J1, J_UDB2",Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C528030
1k,"R1, R10, R2, R3, R9",402,C11702
5k1,"R4, R5",402,C25905
27,"R6, R7",402,C208978
10k,R8,402,C25744
Boot/Reset,"SW_Boot1, SW_RST1",SW_SPST_TL3342,C318884
XC6206PxxxMR,U1,SOT-23,C5446
PRTR5V0U2X,U2,SOT143B,C12333
RP2040,U3,RP2040-QFN-56,C2040
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
SN74AHCT1G125,U5,SOT-23-5,C7468
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
12MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C2650803 
