Designator,Mid X,Mid Y,Rotation,Layer
C1,282.3575,-39.45,270.0,bottom
C10,290.8275,-69.1,0.0,bottom
C11,303.4875,-73.57,180.0,bottom
C12,290.8275,-68.02,0.0,bottom
C13,291.2475,-75.6,270.0,bottom
C14,297.9275,-62.92,90.0,bottom
C15,295.9275,-80.65,270.0,bottom
C2,284.2575,-43.79,180.0,bottom
C3,284.2575,-42.72,180.0,bottom
C4,294.5275,-65.67,90.0,bottom
C5,293.4375,-66.45,90.0,bottom
C6,299.0875,-63.26,90.0,bottom
C7,294.8675,-80.65,270.0,bottom
C8,302.0175,-68.5,90.0,bottom
C9,307.7475,-64.85,90.0,bottom
D1,16.6575,-10.41,90.0,bottom
D10,49.9775,-72.33,90.0,bottom
D11,40.4575,-91.37,90.0,bottom
D12,45.2175,-110.41,90.0,bottom
D13,59.5275,-10.41,90.0,bottom
D14,54.7475,-34.23,90.0,bottom
D15,64.2675,-53.28,90.0,bottom
D16,69.0275,-72.33,90.0,bottom
D17,59.5075,-91.37,90.0,bottom
D18,69.0275,-110.42,90.0,bottom
D19,78.5875,-10.42,90.0,bottom
D2,16.6475,-34.22,90.0,bottom
D20,73.7875,-34.23,90.0,bottom
D21,83.3175,-53.28,90.0,bottom
D22,88.0775,-72.33,90.0,bottom
D23,78.5575,-91.38,90.0,bottom
D24,97.6275,-10.41,90.0,bottom
D25,92.8475,-34.23,90.0,bottom
D26,102.3775,-53.28,90.0,bottom
D27,107.1275,-72.33,90.0,bottom
D28,97.5975,-91.38,90.0,bottom
D29,121.4375,-10.42,90.0,bottom
D3,21.4075,-53.28,90.0,bottom
D30,111.8975,-34.23,90.0,bottom
D31,121.4175,-53.28,90.0,bottom
D32,126.1875,-72.34,90.0,bottom
D33,116.6575,-91.38,90.0,bottom
D34,123.80375,-110.42,90.0,bottom
D35,140.4875,-10.42,90.0,bottom
D36,130.9375,-34.23,90.0,bottom
D37,140.4675,-53.28,90.0,bottom
D38,145.2375,-72.33,90.0,bottom
D39,135.6975,-91.37,90.0,bottom
D4,24.5275,-91.37,90.0,bottom
D40,159.5475,-10.42,90.0,bottom
D41,149.9875,-34.23,90.0,bottom
D42,159.5175,-53.28,90.0,bottom
D43,164.2775,-72.33,90.0,bottom
D44,154.7575,-91.37,90.0,bottom
D45,149.9975,-110.42,90.0,bottom
D46,178.5875,-10.42,90.0,bottom
D47,169.0375,-34.23,90.0,bottom
D48,178.5675,-53.28,90.0,bottom
D49,183.3275,-72.33,90.0,bottom
D5,21.4075,-110.42,90.0,bottom
D50,173.8075,-91.35,90.0,bottom
D51,202.3975,-10.42,90.0,bottom
D52,188.0975,-34.23,90.0,bottom
D53,197.6175,-53.28,90.0,bottom
D54,202.3775,-72.33,90.0,bottom
D55,192.8575,-91.36,90.0,bottom
D56,188.0975,-110.42,90.0,bottom
D57,207.1375,-34.23,90.0,bottom
D58,216.6775,-53.28,90.0,bottom
D59,221.4275,-72.32,90.0,bottom
D6,23.7875,-72.32,90.0,bottom
D60,211.9075,-91.36,90.0,bottom
D61,92.8425,-110.41,90.0,bottom
D62,226.2175,-10.42,90.0,bottom
D63,226.1975,-34.22,90.0,bottom
D64,235.7175,-53.28,90.0,bottom
D65,240.4875,-72.32,90.0,bottom
D66,230.9575,-91.37,90.0,bottom
D67,230.9575,-110.42,90.0,bottom
D68,245.2575,-10.41,90.0,bottom
D69,245.2475,-34.22,90.0,bottom
D7,40.4875,-10.41,90.0,bottom
D70,254.7675,-53.28,90.0,bottom
D71,245.2675,-72.32,90.0,bottom
D72,266.6775,-91.37,90.0,bottom
D73,254.7675,-110.43,90.0,bottom
D74,264.3075,-10.41,90.0,bottom
D75,250.0375,-34.23,90.0,bottom
D76,271.3675,-72.33,90.0,bottom
D77,283.3575,-10.41,90.0,bottom
D78,279.3275,-34.23,90.0,bottom
D79,261.62,-53.27,90.0,bottom
D8,35.6875,-34.23,90.0,bottom
D80,283.3475,-91.37,90.0,bottom
D81,278.5875,-110.42,90.0,bottom
D82,307.1675,-10.41,90.0,bottom
D83,307.1775,-34.23,90.0,bottom
D84,307.1875,-53.26,90.0,bottom
D85,307.1675,-110.41,90.0,bottom
D86,326.2175,-10.41,90.0,bottom
D87,326.2275,-34.23,90.0,bottom
D88,326.2375,-53.26,90.0,bottom
D89,326.2175,-91.38,90.0,bottom
D9,45.2175,-53.28,90.0,bottom
D90,326.2175,-110.42,90.0,bottom
D91,330.9875,-10.41,90.0,bottom
D92,330.9975,-34.22,90.0,bottom
D93,330.9875,-53.27,90.0,bottom
D94,330.9975,-110.43,90.0,bottom
F1,283.2875,-36.94,0.0,bottom
J1,337.5875,-66.38,90.0,bottom
J_USB-DB1,284.33125,-21.475,90.0,top
R1,18.4475,-78.74,180.0,bottom
R10,297.8175,-79.19,45.0,bottom
R2,319.8275,-16.42,0.0,bottom
R3,11.2975,-16.48,180.0,bottom
R6,296.6475,-65.1,270.0,bottom
R7,295.5875,-65.1,270.0,bottom
R8,319.3375,-75.09,270.0,bottom
R9,309.9875,-55.05,0.0,bottom
SW_Boot1,324.3975,-67.56,180.0,bottom
SW_RST1,324.3875,-73.7,180.0,bottom
U1,284.7275,-39.91,90.0,bottom
U2,288.1275,-38.56,0.0,bottom
U3,297.3375,-72.57,0.0,bottom
U4,311.3975,-61.74,270.0,bottom
Y1,299.6275,-81.43,0.0,bottom
